
Andre,Americana,(19) 99181-06
Guto,Santa barbara,19983490133
marcio,nova odessa,199963552
luiza,piracicaba,1991816634
julia,jundiai,199187776
Samanta,americana,1191256585
laura,santa barbara,199925887
luan,, 1192658658
Mateus,nova odessa,1999181655
Mateus,americana,AL,,
luiza,Americana,RO,,
Mateus,santa barbara,19983490133,GO,mateus88@outlook.com
Mateus,campinas,99999999,RN,mateus34543@gmail.com
Mateus,campinas,19983490133,AM,mateus34543@gmail.com
luiza,campinas,18932931930,CE,godoy21@gmail.com
